model,trace_id,prompt_id,no_gap_flag,static_gap_final_label_do_not_route,recovery_static,recovery_m11b_top5,recovery_m11b_top10,oracle_best,oracle_recovery,early_drift_top1,early_drift_top5,early_drift_top10,early_churn_top1,early_churn_top5,early_churn_top10,top1_margin_1000,top5_margin_1000,top10_margin_1000
DeepSeek,7,opencompass_AIME2025_I_7,False,0.00428615719923,0,-0.0121438597736,0.493776839976,m11b_top10,0.493776839976,0.741030949727,0.82197108702,0.803221602052,0.686411670621,0.769774653785,0.76811176287,0.0153086862451,0.00260413096062,0.00116116176468
DeepSeek,8,opencompass_AIME2025_I_8,False,0.0965552414055,0,0.32121499705,0.335389440823,m11b_top10,0.335389440823,0.766167800454,0.818140543482,0.78038184196,0.726199188438,0.801856584042,0.793627890053,0.0160106344512,0.00327307490653,0.00203180754093
DeepSeek,9,opencompass_AIME2025_I_9,False,0.00563828394322,0,-0.435137274863,-0.194951580106,static,0,0.7986108495,0.819678695901,0.811945964837,0.777074645737,0.818302056595,0.803024668968,0.0100690820006,0.00205495621808,0.00116986490918
DeepSeek,10,opencompass_AIME2025_I_10,False,4.42563091976e-05,0,-1.56066901414,0.424602912425,m11b_top10,0.424602912425,0.526206915746,0.605407625497,0.635609875665,0.137648403327,0.160679632915,0.176536200796,0.0163598392272,0.00279530177911,0.00152166774966
DeepSeek,11,opencompass_AIME2025_I_11,False,0.00531161209562,0,-0.176899315259,-0.0923861313091,static,0,0.622189073866,0.816268832277,0.824791308352,0.751874700161,0.800276515515,0.792165455515,0.013304935129,0.0033989758186,0.00174727867919
Falcon-H1,0,opencompass_AIME2025_I_0,False,0.0262547414366,0,0.102904160615,0.453233070076,m11b_top10,0.453233070076,0.817722308222,0.840212505831,0.810183943528,0.764898849945,0.801425840443,0.805051878732,0.0117335944253,0.00437108283473,0.0025625934865
Falcon-H1,1,opencompass_AIME2025_I_1,False,0.209011254911,0,0.0267735929561,-0.142950656284,m11b_top5,0.0267735929561,0.747640035546,0.799321501128,0.817911819505,0.792392776907,0.8146226901,0.797729469601,0.0218754826107,0.00423645037487,0.0021120723134
Falcon-H1,2,opencompass_AIME2025_I_2,False,0.207850986114,0,0.0690722916082,0.0554671457796,m11b_top5,0.0690722916082,0.862724519632,0.825675407264,0.82085426468,0.786362116863,0.811274853244,0.799783572335,0.017911225592,0.00278709671928,0.00318019158499
Falcon-H1,3,opencompass_AIME2025_I_3,False,0.105687789994,0,0.0535121519501,-0.0648162135897,m11b_top5,0.0535121519501,0.775675572373,0.806420889809,0.792691917655,0.761120636255,0.816045039373,0.800136831001,0.016918992925,0.00470577935053,0.00295958638182
Falcon-H1,4,opencompass_AIME2025_I_4,False,0.0471342240931,0,0.100513393097,0.111431256702,m11b_top10,0.111431256702,0.758151062569,0.804839560606,0.804312907019,0.775057590721,0.804273359319,0.796581829828,0.0218487227439,0.00633327819586,0.00221741270415
