unit_id,root,path,file_count,row_count,partition_status,scan_statuses
experimental/shared/results/ssq_lr_prompt_repeat_scout_20260507,experimental,experimental/shared/results/ssq_lr_prompt_repeat_scout_20260507,4,4,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/ssq_lr_prompt_repeat_tensor_capture_20260507,experimental,experimental/shared/results/ssq_lr_prompt_repeat_tensor_capture_20260507,12,12,prior_eval_rows_present_no_clean_confirm,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/ssq_lr_s1b_holdout_metrics_scout_20260507,experimental,experimental/shared/results/ssq_lr_s1b_holdout_metrics_scout_20260507,4,4,prior_eval_rows_present_no_clean_confirm,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/ssq_lr_s1b_holdout_tensor_capture_20260507,experimental,experimental/shared/results/ssq_lr_s1b_holdout_tensor_capture_20260507,12,12,prior_eval_rows_present_no_clean_confirm,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/ssq_lr_s2_layer0_block256_20260507,experimental,experimental/shared/results/ssq_lr_s2_layer0_block256_20260507,3,3,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/ssq_lr_s2_mixed_block256_12p_20260507,experimental,experimental/shared/results/ssq_lr_s2_mixed_block256_12p_20260507,3,3,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/ssq_lr_s2_state_replay_scout_20260507,experimental,experimental/shared/results/ssq_lr_s2_state_replay_scout_20260507,6,6,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/ssq_lr_s2_state_replay_scout_block256_20260507,experimental,experimental/shared/results/ssq_lr_s2_state_replay_scout_block256_20260507,6,6,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/ssq_lr_s2_state_replay_scout_debug_20260507,experimental,experimental/shared/results/ssq_lr_s2_state_replay_scout_debug_20260507,3,3,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/ssq_lr_s2_state_replay_scout_int3_block256_12p_20260507,experimental,experimental/shared/results/ssq_lr_s2_state_replay_scout_int3_block256_12p_20260507,6,6,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/ssq_lr_s2_state_replay_scout_int3_block256_20260507,experimental,experimental/shared/results/ssq_lr_s2_state_replay_scout_int3_block256_20260507,6,6,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/ssq_lr_s2_state_replay_scout_int3_block64_12p_20260507,experimental,experimental/shared/results/ssq_lr_s2_state_replay_scout_int3_block64_12p_20260507,6,6,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/ssq_lr_s2_state_replay_scout_mixed_block256_12p_20260507,experimental,experimental/shared/results/ssq_lr_s2_state_replay_scout_mixed_block256_12p_20260507,6,6,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/ssq_lr_s2_state_replay_scout_mixed_block256_12p_ctx24_20260507,experimental,experimental/shared/results/ssq_lr_s2_state_replay_scout_mixed_block256_12p_ctx24_20260507,6,6,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/ssq_lr_s2_state_replay_scout_mixed_block256_12p_ctx24_layer0_20260507,experimental,experimental/shared/results/ssq_lr_s2_state_replay_scout_mixed_block256_12p_ctx24_layer0_20260507,6,6,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/ssq_lr_s2_state_replay_scout_mixed_block256_12p_ctx24_layer12_20260507,experimental,experimental/shared/results/ssq_lr_s2_state_replay_scout_mixed_block256_12p_ctx24_layer12_20260507,6,6,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/ssq_lr_s2_state_replay_scout_mixed_block256_12p_ctx24_layer30_20260507,experimental,experimental/shared/results/ssq_lr_s2_state_replay_scout_mixed_block256_12p_ctx24_layer30_20260507,6,6,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/ssq_lr_s2_state_replay_scout_mixed_block256_12p_ctx24_layers0_30_20260507,experimental,experimental/shared/results/ssq_lr_s2_state_replay_scout_mixed_block256_12p_ctx24_layers0_30_20260507,6,6,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/ssq_lr_s3_local_transfer_prefilter_int3_granite_tiny_350m_layer0_12p_20260507,experimental,experimental/shared/results/ssq_lr_s3_local_transfer_prefilter_int3_granite_tiny_350m_layer0_12p_20260507,10,10,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/ssq_lr_s3_local_transfer_prefilter_mixed25_granite_tiny_350m_layer0_12p_20260507,experimental,experimental/shared/results/ssq_lr_s3_local_transfer_prefilter_mixed25_granite_tiny_350m_layer0_12p_20260507,10,10,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/ssq_lr_s3_local_transfer_prefilter_mixed25_granite_tiny_350m_layers0_30_20260507,experimental,experimental/shared/results/ssq_lr_s3_local_transfer_prefilter_mixed25_granite_tiny_350m_layers0_30_20260507,5,5,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/ssq_lr_s3_prefilter_granite_tiny_layers0_30_20260507,experimental,experimental/shared/results/ssq_lr_s3_prefilter_granite_tiny_layers0_30_20260507,6,6,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/ssq_lr_s3_source_granite_tiny_12p_layer0_ctx32_20260507,experimental,experimental/shared/results/ssq_lr_s3_source_granite_tiny_12p_layer0_ctx32_20260507,6,6,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/ssq_lr_s3_transfer_granite_350m_12p_layer0_20260507,experimental,experimental/shared/results/ssq_lr_s3_transfer_granite_350m_12p_layer0_20260507,6,6,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
