cache_family,path,files_seen,rows_seen,rows_dev,rows_gate,rows_confirm,parse_status,parser,usable_for_methods,blocked_reason
experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/checker_result.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/command_metadata.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/environment.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/model_provenance.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/phase1_reference.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/prompt_manifest.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/random_seed.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/run_events.jsonl,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/validation_scope.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/outlier_migrate/phase3/results/layer_stratified_migration.json,experimental/outlier_migrate/phase3/results/layer_stratified_migration.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/outlier_migrate/phase3/results/om_phase3_20260509T212000Z,experimental/outlier_migrate/phase3/results/om_phase3_20260509T212000Z/activation_magnitude_manifest.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/outlier_migrate/phase3/results/om_phase3_20260509T212000Z,experimental/outlier_migrate/phase3/results/om_phase3_20260509T212000Z/activation_magnitudes.jsonl.gz,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/outlier_migrate/phase3/results/om_phase3_20260509T212000Z,experimental/outlier_migrate/phase3/results/om_phase3_20260509T212000Z/artifact_check.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
