experiment_id,model,method,baseline,trace_id,prompt_id,task,seed,L_bf16,L_static,L_method,recoverable_gap,no_gap_flag,recovery_unclipped,recovery_clipped_optional,tokens_generated,final_decode_position,notes
17_mpred,Granite/DeepSeek/Falcon,m11b_top10,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.0018152593644025217,0.0006273773848011199,0.0008026155822562497,-0.0011893337179100794,True,,,512,10000,perplexity_bf16=1.0018169079450654; perplexity_static=1.0006275742271553; perplexity_method=1.000802937764333
17_mpred,Granite/DeepSeek/Falcon,mpred_top10_alpha_0_95,static_1pct,5,opencompass_AIME2025_I_5,AIME-2025,,4.493739586708401e-05,0.04951611763096586,0.016830808144358722,0.05071758947543281,False,0.6662241650728762,0.6662241650728762,512,10000,perplexity_bf16=1.000044938405567; perplexity_static=1.0507625278809998; perplexity_method=1.0169732441782207
17_mpred,Granite/DeepSeek/Falcon,mpred_top5_alpha_0_95,static_1pct,5,opencompass_AIME2025_I_5,AIME-2025,,4.493739586708401e-05,0.04951611763096586,0.05857634734516573,0.05071758947543281,False,-0.18856195439319445,0.0,512,10000,perplexity_bf16=1.000044938405567; perplexity_static=1.0507625278809998; perplexity_method=1.060325935674599
17_mpred,Granite/DeepSeek/Falcon,static_top10,static_1pct,5,opencompass_AIME2025_I_5,AIME-2025,,4.493739586708401e-05,0.04951611763096586,2.8265027363125195e-05,0.05071758947543281,False,1.000328741545419,1.0,512,10000,perplexity_bf16=1.000044938405567; perplexity_static=1.0507625278809998; perplexity_method=1.0000282654268229
17_mpred,Granite/DeepSeek/Falcon,m11b_top10,static_1pct,6,opencompass_AIME2025_I_6,AIME-2025,,3.24848918841214e-05,1.4442438338146957e-05,3.147055488086914e-05,-1.8042876893220594e-05,True,,,512,10000,perplexity_bf16=1.000032485419524; perplexity_static=1.0000144425426307; perplexity_method=1.000031471050084
17_mpred,Granite/DeepSeek/Falcon,m11b_top5,static_1pct,6,opencompass_AIME2025_I_6,AIME-2025,,3.24848918841214e-05,1.4442438338146957e-05,1.920215917163015e-05,-1.8042876893220594e-05,True,,,512,10000,perplexity_bf16=1.000032485419524; perplexity_static=1.0000144425426307; perplexity_method=1.0000192023435344
17_mpred,Granite/DeepSeek/Falcon,mpred_top10_alpha_0_95,static_1pct,6,opencompass_AIME2025_I_6,AIME-2025,,3.24848918841214e-05,1.4442438338146957e-05,1.1884366764913779e-05,-1.8042876893220594e-05,True,,,512,10000,perplexity_bf16=1.000032485419524; perplexity_static=1.0000144425426307; perplexity_method=1.0000118844373842
17_mpred,Granite/DeepSeek/Falcon,mpred_top5_alpha_0_95,static_1pct,6,opencompass_AIME2025_I_6,AIME-2025,,3.24848918841214e-05,1.4442438338146957e-05,1.8184720609631944e-05,-1.8042876893220594e-05,True,,,512,10000,perplexity_bf16=1.000032485419524; perplexity_static=1.0000144425426307; perplexity_method=1.0000181848859526
17_mpred,Granite/DeepSeek/Falcon,static_top10,static_1pct,6,opencompass_AIME2025_I_6,AIME-2025,,3.24848918841214e-05,1.4442438338146957e-05,2.3796004705853302e-05,-1.8042876893220594e-05,True,,,512,10000,perplexity_bf16=1.000032485419524; perplexity_static=1.0000144425426307; perplexity_method=1.0000237962878331
17_mpred,Granite/DeepSeek/Falcon,m11b_top10,static_1pct,7,opencompass_AIME2025_I_7,AIME-2025,,0.0009341512697222942,0.011591499201476396,0.019272462401974444,0.010724353235221251,False,-0.7273570722179588,0.0,512,10000,perplexity_bf16=1.000934587724914; perplexity_static=1.0116589409601353; perplexity_method=1.019459375130737
17_mpred,Granite/DeepSeek/Falcon,m11b_top5,static_1pct,7,opencompass_AIME2025_I_7,AIME-2025,,0.0009341512697222942,0.011591499201476396,0.035455645944187486,0.010724353235221251,False,-2.2782493959434995,0.0,512,10000,perplexity_bf16=1.000934587724914; perplexity_static=1.0116589409601353; perplexity_method=1.0360916922401628
17_mpred,Granite/DeepSeek/Falcon,mpred_top10_alpha_0_95,static_1pct,7,opencompass_AIME2025_I_7,AIME-2025,,0.0009341512697222942,0.011591499201476396,0.16463940230459606,0.010724353235221251,False,-15.600844574070052,0.0,512,10000,perplexity_bf16=1.000934587724914; perplexity_static=1.0116589409601353; perplexity_method=1.1789679089402474
17_mpred,Granite/DeepSeek/Falcon,mpred_top5_alpha_0_95,static_1pct,7,opencompass_AIME2025_I_7,AIME-2025,,0.0009341512697222942,0.011591499201476396,0.13554496814322992,0.010724353235221251,False,-12.448466265357741,0.0,512,10000,perplexity_bf16=1.000934587724914; perplexity_static=1.0116589409601353; perplexity_method=1.1451606904265672
