experiment_id,model,method,baseline,trace_id,prompt_id,task,seed,L_bf16,L_static,L_method,recoverable_gap,no_gap_flag,recovery_unclipped,recovery_clipped_optional,tokens_generated,final_decode_position,notes
06_m11b_nemotron,Nemotron,m11b_top1,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.00011336160969221964,0.0010138852532008968,0.00074888294483344,0.000901031373242267,False,0.29436930699994734,0.29436930699994734,512,10000,perplexity_bf16=1.0001133680353622; perplexity_static=1.0010143994086045; perplexity_method=1.000749163427678
06_m11b_nemotron,Nemotron,static_top10,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.4510153484025068,2.5720502401527483,1.670807536371285,11.522734621157499,False,0.6748554883752114,0.6748554883752114,512,10000,perplexity_bf16=1.56990537744792; perplexity_static=13.092639998605419; perplexity_method=5.316459298426219
06_m11b_nemotron,Nemotron,m11b_top1,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.16308939456939697,0.11104943718237337,0.06283869592152769,-0.0596917660039753,True,,,512,10000,perplexity_bf16=1.1771419150797253; perplexity_static=1.11745014907575; perplexity_method=1.0648550599131796
06_m11b_nemotron,Nemotron,m11b_top10,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.16308939456939697,0.11104943718237337,0.08375296758458717,-0.0596917660039753,True,,,512,10000,perplexity_bf16=1.1771419150797253; perplexity_static=1.11745014907575; perplexity_method=1.0873602473996675
06_m11b_nemotron,Nemotron,m11b_top5,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.16308939456939697,0.11104943718237337,0.06543505367153557,-0.0596917660039753,True,,,512,10000,perplexity_bf16=1.1771419150797253; perplexity_static=1.11745014907575; perplexity_method=1.0676233968420104
06_m11b_nemotron,Nemotron,static_top10,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.16308939456939697,0.11104943718237337,0.06032048636552645,-0.0596917660039753,True,,,512,10000,perplexity_bf16=1.1771419150797253; perplexity_static=1.11745014907575; perplexity_method=1.0621769052181889
06_m11b_nemotron,Nemotron,m11b_top1,static_1pct,4,opencompass_AIME2025_I_4,AIME-2025,,8.451581379631534e-05,5.652894876106984e-05,0.00011084262587246485,-2.7988838805947935e-05,True,,,512,10000,perplexity_bf16=1.0000845193853583; perplexity_static=1.0000565305465523; perplexity_method=1.0001108487691432
06_m11b_nemotron,Nemotron,m11b_top10,static_1pct,4,opencompass_AIME2025_I_4,AIME-2025,,8.451581379631534e-05,5.652894876106984e-05,0.0002514669833146854,-2.7988838805947935e-05,True,,,512,10000,perplexity_bf16=1.0000845193853583; perplexity_static=1.0000565305465523; perplexity_method=1.000251498603787
06_m11b_nemotron,Nemotron,m11b_top5,static_1pct,4,opencompass_AIME2025_I_4,AIME-2025,,8.451581379631534e-05,5.652894876106984e-05,0.0002845215154820835,-2.7988838805947935e-05,True,,,512,10000,perplexity_bf16=1.0000845193853583; perplexity_static=1.0000565305465523; perplexity_method=1.0002845619955676
06_m11b_nemotron,Nemotron,static_top10,static_1pct,4,opencompass_AIME2025_I_4,AIME-2025,,8.451581379631534e-05,5.652894876106984e-05,0.0007331559938847931,-2.7988838805947935e-05,True,,,512,10000,perplexity_bf16=1.0000845193853583; perplexity_static=1.0000565305465523; perplexity_method=1.0007334248184332
06_m11b_nemotron,Nemotron,m11b_top1,static_1pct,5,opencompass_AIME2025_I_5,AIME-2025,,0.4094743040332105,1.6809864028473385,2.005408760625869,3.8648253167323223,False,-0.5325671049426282,0.0,512,10000,perplexity_bf16=1.5060258652533087; perplexity_static=5.370851181985631; perplexity_method=7.42913001202674
