experiment_id,model,method,baseline,trace_id,prompt_id,task,seed,L_bf16,L_static,L_method,recoverable_gap,no_gap_flag,recovery_unclipped,recovery_clipped_optional,tokens_generated,final_decode_position,notes
01_static_top1_static_union,Granite,union_primary,static_1pct,12,opencompass_AIME2025_I_12,AIME-2025,,0.02451202205527725,0.09128529342403402,0.04852418847028206,0.07076661146605079,False,0.6480564672789735,0.6480564672789735,64,10000,perplexity_bf16=1.0248149114146548; perplexity_static=1.0955815228807055; perplexity_method=1.049720762652713
01_static_top1_static_union,Granite,grid_dense,static_1pct,13,opencompass_AIME2025_I_13,AIME-2025,,6.437614572973871e-05,3.301166125813104e-05,2.7996343019642822e-05,-3.136601176945142e-05,True,0.0,0.0,64,10000,perplexity_bf16=1.0000643782179184; perplexity_static=1.000033012206149; perplexity_method=1.0000279967349208
01_static_top1_static_union,Granite,grid_sparse,static_1pct,13,opencompass_AIME2025_I_13,AIME-2025,,6.437614572973871e-05,3.301166125813104e-05,5.017090351167042e-05,-3.136601176945142e-05,True,0.0,0.0,64,10000,perplexity_bf16=1.0000643782179184; perplexity_static=1.000033012206149; perplexity_method=1.0000501721620925
01_static_top1_static_union,Granite,magnitude_average,static_1pct,13,opencompass_AIME2025_I_13,AIME-2025,,6.437614572973871e-05,3.301166125813104e-05,4.0804246993930704e-05,-3.136601176945142e-05,True,0.0,0.0,64,10000,perplexity_bf16=1.0000643782179184; perplexity_static=1.000033012206149; perplexity_method=1.0000408050794984
01_static_top1_static_union,Granite,static_2pct,static_1pct,13,opencompass_AIME2025_I_13,AIME-2025,,6.437614572973871e-05,3.301166125813104e-05,1.1017260359347247e-05,-3.136601176945142e-05,True,0.0,0.0,64,10000,perplexity_bf16=1.0000643782179184; perplexity_static=1.000033012206149; perplexity_method=1.0000110173210497
01_static_top1_static_union,Granite,union_primary,static_1pct,13,opencompass_AIME2025_I_13,AIME-2025,,6.437614572973871e-05,3.301166125813104e-05,4.0201391088512395e-05,-3.136601176945142e-05,True,0.0,0.0,64,10000,perplexity_bf16=1.0000643782179184; perplexity_static=1.000033012206149; perplexity_method=1.0000402021991752
01_static_top1_static_union,Granite,grid_dense,static_1pct,14,opencompass_AIME2025_I_14,AIME-2025,,0.00027679884431108803,0.0013175698674672276,0.001326138731286619,0.0010416010873395276,False,-0.008237508776182123,0.0,64,10000,perplexity_bf16=1.000276837156646; perplexity_static=1.0013184382439855; perplexity_method=1.0013270184420837
01_static_top1_static_union,Granite,grid_sparse,static_1pct,14,opencompass_AIME2025_I_14,AIME-2025,,0.00027679884431108803,0.0013175698674672276,0.0018079669079327232,0.0010416010873395276,False,-0.471547147460184,0.0,64,10000,perplexity_bf16=1.000276837156646; perplexity_static=1.0013184382439855; perplexity_method=1.0018096022655119
01_static_top1_static_union,Granite,magnitude_average,static_1pct,14,opencompass_AIME2025_I_14,AIME-2025,,0.00027679884431108803,0.0013175698674672276,0.0011900792744370392,0.0010416010873395276,False,0.12255223785835678,0.12255223785835678,64,10000,perplexity_bf16=1.000276837156646; perplexity_static=1.0013184382439855; perplexity_method=1.0011907876997763
01_static_top1_static_union,Granite,static_2pct,static_1pct,14,opencompass_AIME2025_I_14,AIME-2025,,0.00027679884431108803,0.0013175698674672276,0.001344104007188207,0.0010416010873395276,False,-0.025508302713922903,0.0,64,10000,perplexity_bf16=1.000276837156646; perplexity_static=1.0013184382439855; perplexity_method=1.0013450077198285
