run_tag,dataset,kv_quant_scheme,kv_quant_bits,kv_cache_proportion,kv_cache_order_mode,num_samples,token_select_mode,token_select_proportion,token_select_scope,sparse_fuse,index_dtype_bytes,include_scale_overhead,base_model,avg_input_length,bytes_per_sequence,bytes_per_sequence_mib,accuracy,run_root
step7_20260128_011432,openbookqa,int8,8,1.0,front,500,,,,,,,Qwen/Qwen3-0.6B,138.926,3983286.272,3.7987578125,0.468,quantization/data/step_1_kv_ptq/step7_20260128_011432
step7_align0_20260128_045934,arc_c,int8,8,1.0,front,1150,,,,,,,Qwen/Qwen3-0.6B,141.31739130434784,4051852.243478261,3.864147418478261,0.5504347826086956,quantization/data/step_1_kv_ptq/step7_align0_20260128_045934
step7_align0_20260128_045934,openbookqa,int8,8,1.0,front,500,,,,,,,Qwen/Qwen3-0.6B,117.926,3381174.272,3.2245390625,0.528,quantization/data/step_1_kv_ptq/step7_align0_20260128_045934
step7_align1_20260128_045934,arc_c,int8,8,1.0,front,1150,,,,,,,Qwen/Qwen3-0.6B,162.31739130434784,4653964.243478261,4.438366168478261,0.4956521739130435,quantization/data/step_1_kv_ptq/step7_align1_20260128_045934
step7_align1_20260128_045934,openbookqa,int8,8,1.0,front,500,,,,,,,Qwen/Qwen3-0.6B,138.926,3983286.272,3.7987578125,0.468,quantization/data/step_1_kv_ptq/step7_align1_20260128_045934
step8_int4_front_p0p25_prompt_sf1_20260128_045936,arc_c,int4,4,1.0,front,1150,front,0.25,prompt,True,2,False,Qwen/Qwen3-0.6B,141.31739130434784,506552.18913043477,0.48308581269305684,0.4791304347826087,quantization/data/step_8_selective_transfer/step8_int4_front_p0p25_prompt_sf1_20260128_045936
step8_int4_front_p0p25_prompt_sf1_20260128_045936,openbookqa,int4,4,1.0,front,500,front,0.25,prompt,True,2,False,Qwen/Qwen3-0.6B,117.926,422705.747,0.40312361431121824,0.448,quantization/data/step_8_selective_transfer/step8_int4_front_p0p25_prompt_sf1_20260128_045936
step8_int4_front_p0p5_prompt_sf1_20260128_045936,arc_c,int4,4,1.0,front,1150,front,0.5,prompt,True,2,False,Qwen/Qwen3-0.6B,141.31739130434784,1013104.3782608695,0.9661716253861137,0.4782608695652174,quantization/data/step_8_selective_transfer/step8_int4_front_p0p5_prompt_sf1_20260128_045936
step8_int4_front_p0p5_prompt_sf1_20260128_045936,openbookqa,int4,4,1.0,front,500,front,0.5,prompt,True,2,False,Qwen/Qwen3-0.6B,117.926,845411.494,0.8062472286224365,0.446,quantization/data/step_8_selective_transfer/step8_int4_front_p0p5_prompt_sf1_20260128_045936
step8_int4_front_p1p0_prompt_sf1_20260128_045936,arc_c,int4,4,1.0,front,1150,front,1.0,prompt,True,2,False,Qwen/Qwen3-0.6B,141.31739130434784,2026208.756521739,1.9323432507722273,0.5539130434782609,quantization/data/step_8_selective_transfer/step8_int4_front_p1p0_prompt_sf1_20260128_045936
step8_int4_front_p1p0_prompt_sf1_20260128_045936,openbookqa,int4,4,1.0,front,500,front,1.0,prompt,True,2,False,Qwen/Qwen3-0.6B,117.926,1690822.988,1.612494457244873,0.526,quantization/data/step_8_selective_transfer/step8_int4_front_p1p0_prompt_sf1_20260128_045936
step8_int4_vnorm_topk_p0p25_prompt_sf1_20260128_045936,arc_c,int4,4,1.0,front,1150,vnorm_topk,0.25,prompt,True,2,False,Qwen/Qwen3-0.6B,141.31739130434784,506552.18913043477,0.48308581269305684,0.5626086956521739,quantization/data/step_8_selective_transfer/step8_int4_vnorm_topk_p0p25_prompt_sf1_20260128_045936
step8_int4_vnorm_topk_p0p25_prompt_sf1_20260128_045936,openbookqa,int4,4,1.0,front,500,vnorm_topk,0.25,prompt,True,2,False,Qwen/Qwen3-0.6B,117.926,422705.747,0.40312361431121824,0.518,quantization/data/step_8_selective_transfer/step8_int4_vnorm_topk_p0p25_prompt_sf1_20260128_045936
step8_int4_vnorm_topk_p0p5_prompt_sf1_20260128_045936,arc_c,int4,4,1.0,front,1150,vnorm_topk,0.5,prompt,True,2,False,Qwen/Qwen3-0.6B,141.31739130434784,1013104.3782608695,0.9661716253861137,0.5634782608695652,quantization/data/step_8_selective_transfer/step8_int4_vnorm_topk_p0p5_prompt_sf1_20260128_045936
step8_int4_vnorm_topk_p0p5_prompt_sf1_20260128_045936,openbookqa,int4,4,1.0,front,500,vnorm_topk,0.5,prompt,True,2,False,Qwen/Qwen3-0.6B,117.926,845411.494,0.8062472286224365,0.52,quantization/data/step_8_selective_transfer/step8_int4_vnorm_topk_p0p5_prompt_sf1_20260128_045936
step8_int4_vnorm_topk_p1p0_prompt_sf1_20260128_045936,arc_c,int4,4,1.0,front,1150,vnorm_topk,1.0,prompt,True,2,False,Qwen/Qwen3-0.6B,141.31739130434784,2026208.756521739,1.9323432507722273,0.5539130434782609,quantization/data/step_8_selective_transfer/step8_int4_vnorm_topk_p1p0_prompt_sf1_20260128_045936
step8_int4_vnorm_topk_p1p0_prompt_sf1_20260128_045936,openbookqa,int4,4,1.0,front,500,vnorm_topk,1.0,prompt,True,2,False,Qwen/Qwen3-0.6B,117.926,1690822.988,1.612494457244873,0.526,quantization/data/step_8_selective_transfer/step8_int4_vnorm_topk_p1p0_prompt_sf1_20260128_045936
step8_int8_front_p0p10_prompt_sf1_20260128_045934,arc_c,int8,8,1.0,front,1150,front,0.1,prompt,True,2,False,Qwen/Qwen3-0.6B,141.31739130434784,405213.48782608705,0.38644169600113587,0.47391304347826085,quantization/data/step_8_selective_transfer/step8_int8_front_p0p10_prompt_sf1_20260128_045934
step8_int8_front_p0p10_prompt_sf1_20260128_045934,openbookqa,int8,8,1.0,front,500,front,0.1,prompt,True,2,False,Qwen/Qwen3-0.6B,117.926,338141.0124,0.3224763988494873,0.448,quantization/data/step_8_selective_transfer/step8_int8_front_p0p10_prompt_sf1_20260128_045934
