row_id,contribution,method,surface,status,accuracy,target_accuracy,best_control_accuracy,matched_minus_target,matched_minus_best_control,mean_payload_bytes,mean_payload_tokens,p50_latency_ms,p95_latency_ms,valid_rate,ci95_low_vs_target,ci95_low_vs_comparator,comparator,note
candidate_embedding_receiver_gated_budget4_seed29_30,learned target-preserving receiver,4-byte candidate-embedding receiver,all-family train768/eval512 seed29->30,pass,0.748046875,0.25,0.26171875,0.498046875,0.486328125,4.0,,7.917937997262925,27.352417004294693,1.0,,,zero/shuffled/answer-masked/random/target-derived/wrong-projection controls,train=768; eval=512; margin_threshold=0.625; full_diag_oracle=0.998; best_control=0.262
candidate_embedding_receiver_diagnostic_budget8_seed29_30,learned target-preserving receiver,8-byte candidate-embedding receiver,all-family train768/eval512 seed29->30,pass,0.875,0.25,0.25,0.625,0.625,8.0,,7.9337705101352185,21.94958401378244,1.0,,,zero/shuffled/answer-masked/random/target-derived/wrong-projection controls,train=768; eval=512; margin_threshold=0.583; full_diag_oracle=1.000; best_control=0.250
candidate_embedding_receiver_diagnostic_budget8_seed31_32,learned target-preserving receiver,8-byte candidate-embedding receiver,all-family train768/eval512 seed31->32,pass,0.513671875,0.25,0.283203125,0.263671875,0.23046875,8.0,,8.135562486131676,29.41479202127084,1.0,,,zero/shuffled/answer-masked/random/target-derived/wrong-projection controls,train=768; eval=512; margin_threshold=0.873; full_diag_oracle=1.000; best_control=0.283
candidate_embedding_receiver_diagnostic_budget8_seed37_38,learned target-preserving receiver,8-byte candidate-embedding receiver,all-family train768/eval512 seed37->38,pass,0.859375,0.25,0.275390625,0.609375,0.583984375,8.0,,7.5989169999957085,23.065707995556295,1.0,,,zero/shuffled/answer-masked/random/target-derived/wrong-projection controls,train=768; eval=512; margin_threshold=0.518; full_diag_oracle=1.000; best_control=0.275
candidate_embedding_receiver_heldout_core_to_holdout_budget8_seed29_30,learned target-preserving receiver,8-byte candidate-embedding receiver,heldout-family core-train/holdout-eval seed29->30,fail,0.453125,0.25,0.310546875,0.203125,0.142578125,8.0,,11.366624996298924,36.02937501273118,1.0,,,zero/shuffled/answer-masked/random/target-derived/wrong-projection controls,train=768; eval=512; margin_threshold=0.000; full_diag_oracle=0.809; best_control=0.311
canonical_rasp::source_private_relative_canonical_remap101_20260429,canonical RASP remap robustness,4-byte canonical RASP,remap 101,near-miss,0.494140625,0.25,0.294921875,0.244140625,0.19921875,4.0,,3.868666499329265,,,0.18359375,0.029296875,scalar packet,scalar=0.426; relative_minus_scalar=0.068
canonical_rasp::source_private_relative_canonical_remap103_20260429,canonical RASP remap robustness,4-byte canonical RASP,remap 103,near-miss,0.51953125,0.25,0.255859375,0.26953125,0.263671875,4.0,,3.6137709976173937,,,0.212890625,-0.013671875,scalar packet,scalar=0.496; relative_minus_scalar=0.023
canonical_rasp::source_private_relative_canonical_remap107_20260429,canonical RASP remap robustness,4-byte canonical RASP,remap 107,near-miss,0.505859375,0.25,0.35546875,0.255859375,0.150390625,4.0,,3.6501665017567575,,,0.19921875,-0.03515625,scalar packet,scalar=0.502; relative_minus_scalar=0.004
canonical_rasp::source_private_relative_canonical_remap109_20260429,canonical RASP remap robustness,4-byte canonical RASP,remap 109,near-miss,0.4765625,0.25,0.279296875,0.2265625,0.197265625,4.0,,3.648541991424281,,,0.169921875,-0.0078125,scalar packet,scalar=0.451; relative_minus_scalar=0.025
canonical_rasp::source_private_relative_canonical_remap113_20260429,canonical RASP remap robustness,4-byte canonical RASP,remap 113,near-miss,0.47265625,0.25,0.279296875,0.22265625,0.193359375,4.0,,4.21960399398813,,,0.1640625,0.001953125,scalar packet,scalar=0.436; relative_minus_scalar=0.037
